index,uri,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,duration_ms
"ocean, the velvet underground",spotify:track:4YnQESBmgiYcmKXRzSfjy5,145.55100000000002,0.369,0.171,7,-19.285999999999998,1,0.0296,0.872,0.45299999999999996,0.11,0.20800000000000002,4,310000
"rock and roll, the velvet underground",spotify:track:5LI786WjVfUnUeZBPQowtt,132.933,0.479,0.299,0,-17.059,1,0.0335,0.0833,6.73e-05,0.109,0.187,4,315173
"ferryboat bill, the velvet underground",spotify:track:5qj3EQB2KcldueyW8PTKyL,91.95200000000001,0.524,0.6659999999999999,3,-17.899,1,0.035,0.78,0.057,0.207,0.932,4,130773
"coney island steeplechase, the velvet underground",spotify:track:5WYFLOqHjy9cWeHj4kbOzZ,125.662,0.625,0.7190000000000001,2,-17.18,0,0.048,0.00757,0.759,0.121,0.40299999999999997,4,145573
"ride into the sun, the velvet underground",spotify:track:05sabuHmgGSO7zFn1Q6Zct,81.744,0.585,0.34600000000000003,2,-16.303,1,0.036000000000000004,0.674,0.727,0.32799999999999996,0.9059999999999999,4,204133
"we're gonna have a real good time together, the velvet underground",spotify:track:37FUkyxKdVG5QQS3F3OZTi,87.84100000000001,0.603,0.674,2,-15.035,1,0.0377,0.528,0.0005769999999999999,0.128,0.887,4,175600
"beginning to see the light - early version, the velvet underground",spotify:track:6T1heqJlWih0KsY5Gja634,114.005,0.48100000000000004,0.519,0,-9.578,1,0.0313,0.154,4.1700000000000004e-05,0.14400000000000002,0.815,4,219360
"hey mr. rain - version 2, the velvet underground",spotify:track:3kH9s21zATtB3xX69rH3ap,109.16,0.38,0.526,9,-9.671,1,0.0353,0.0139,0.365,0.0916,0.309,4,324227
"hey mr. rain - version 1, the velvet underground",spotify:track:3B3rITFY4UAb1C0BUvIxt2,198.53099999999998,0.184,0.515,4,-9.716000000000001,1,0.0522,0.0241,0.534,0.152,0.324,4,279947
"temptation inside your heart, the velvet underground",spotify:track:7yexycwAnU6Sq4qD7aO8yf,147.385,0.608,0.579,0,-10.073,1,0.0701,0.8109999999999999,0.0,0.162,0.833,4,152707
"guess i'm falling in love - instrumental version, the velvet underground",spotify:track:4BywdhVkXOz5m9FLL3b9aM,139.503,0.642,0.914,7,-12.276,0,0.04,0.0389,0.7190000000000001,0.28800000000000003,0.912,4,213960
"i heard her call my name - alternate take, the velvet underground",spotify:track:1GXcim081lF4LggGbCyYkO,143.59799999999998,0.217,0.9059999999999999,0,-8.092,1,0.109,0.109,0.653,0.125,0.494,4,278960
"sweet jane - live, the velvet underground",spotify:track:08gy68MItzkU63qIOkORO1,179.52900000000002,0.49200000000000005,0.46399999999999997,2,-14.612,1,0.401,0.677,2.7000000000000002e-05,0.701,0.753,4,257467
"heroin - live, the velvet underground",spotify:track:1pwGU2tMwClYkioywE00dG,91.476,0.345,0.5329999999999999,0,-13.238,1,0.0332,0.188,0.785,0.72,0.192,4,493507
"white light/white heat - live, the velvet underground",spotify:track:7FO4rdfNpOtb1uVfjHq4yR,139.937,0.428,0.74,0,-10.016,1,0.031,0.0288,0.0164,0.48100000000000004,0.8190000000000001,4,521973
"pale blue eyes - live, the velvet underground",spotify:track:3zKB4gETD1nRBOsrln0ipX,80.696,0.415,0.225,5,-16.634,1,0.0353,0.723,0.000127,0.619,0.396,4,365027
"i can't stand it anymore - live, the velvet underground",spotify:track:29gsBHJ8Q6FdMgls604ctM,138.51,0.45,0.733,10,-11.252,1,0.0601,0.0685,0.0013,0.732,0.78,4,411840
"rock and roll - live, the velvet underground",spotify:track:6AkIGtaVYaAV9cH7nij7Ik,142.245,0.473,0.643,5,-11.077,1,0.0347,0.49200000000000005,0.00135,0.711,0.321,4,414160
"beginning to see the light - live, the velvet underground",spotify:track:2BfOWnBbvyehmbddtlaQSu,137.592,0.516,0.765,0,-9.196,1,0.0365,0.0348,0.000399,0.679,0.868,4,337013
"some kinda love - live, the velvet underground",spotify:track:5mXUiUafngoR5SaRJI12iQ,113.819,0.612,0.46299999999999997,7,-12.587,1,0.0522,0.122,5.3400000000000004e-05,0.605,0.51,4,243213
"i'm waiting for the man - live, the velvet underground",spotify:track:7DIKG9V26KzgizzTDGt8gf,107.994,0.494,0.527,7,-10.708,1,0.0326,0.685,0.0,0.687,0.8959999999999999,4,329733
"what goes on - live, the velvet underground",spotify:track:5quC6i10rcX20eIL2khEGW,136.534,0.41600000000000004,0.8340000000000001,2,-9.396,1,0.0309,0.483,0.535,0.784,0.86,4,273720
"loulou, juliette armanet",spotify:track:5CYToYaOPopPwNjRxE4kHE,120.012,0.6679999999999999,0.741,5,-5.859,0,0.0276,0.0435,0.00255,0.0837,0.9109999999999999,4,233760
"la nuit, juliette armanet",spotify:track:4ciRSTM3OxACHI06DHKYKT,149.92600000000002,0.665,0.568,2,-8.585,1,0.0426,0.522,0.002,0.0752,0.623,4,201773
"petite amie, juliette armanet",spotify:track:6chhcVHedK27qBasjJflJ0,146.011,0.705,0.521,0,-6.907,1,0.0376,0.547,2.99e-06,0.19,0.693,4,192627
"l'accident, juliette armanet",spotify:track:016NAcm7HFfldZabbMVaz7,124.43799999999999,0.545,0.191,9,-15.699000000000002,0,0.0382,0.968,0.000481,0.256,0.17600000000000002,4,172053
"la carte postale, juliette armanet",spotify:track:1cgS8NpgrgBJ4Fw00YsQsi,82.95700000000001,0.628,0.698,5,-7.686,0,0.0317,0.49200000000000005,0.087,0.122,0.667,4,176840
"star triste, juliette armanet",spotify:track:69Ls5gctPKdaEs6JwrvVa8,143.825,0.721,0.544,7,-8.36,1,0.0317,0.6609999999999999,0.000127,0.11800000000000001,0.504,4,238480
"un samedi soir dans l'histoire, juliette armanet",spotify:track:47vIeQiipUPTjtJ0AJqGny,142.895,0.706,0.7979999999999999,0,-7.03,0,0.0518,0.109,0.0018100000000000002,0.139,0.331,4,204227
"a la guerre comme à l'amour, juliette armanet",spotify:track:3TdkzBnPxo7PmmCxBuB0Oy,107.98200000000001,0.764,0.509,9,-8.711,0,0.0263,0.24600000000000002,0.00705,0.0562,0.612,4,221893
"cavalier seule, juliette armanet",spotify:track:2etychqYY0AjmR2K8c3in5,109.969,0.6829999999999999,0.6890000000000001,0,-4.619,0,0.0308,0.183,0.0,0.0579,0.496,4,166893
"à la folie - rework, juliette armanet",spotify:track:12MkoPwvLI3OXRpBAoMkeK,105.98100000000001,0.8440000000000001,0.599,7,-5.814,0,0.0266,0.201,0.0746,0.102,0.32899999999999996,4,225253
"l’amour en solitaire, juliette armanet",spotify:track:2oBqyhYfeaHzMx5OtQ2mLM,128.02100000000002,0.8009999999999999,0.505,5,-7.518,0,0.0326,0.361,3.8900000000000004e-05,0.271,0.536,4,175227
"cool cat, juliette armanet",spotify:track:3Zv9r86H4TdZ42xyes7fK0,148.016,0.755,0.415,1,-12.610999999999999,0,0.0412,0.537,0.136,0.0782,0.752,4,221267
"sous la pluie, juliette armanet",spotify:track:6sktd1Utvi1i6riHrrISEC,133.942,0.68,0.11699999999999999,5,-10.655,0,0.0342,0.9790000000000001,0.00842,0.138,0.237,4,196187
"alexandre, juliette armanet",spotify:track:3NLjKDOSB2APFv7ICJqizh,135.09,0.634,0.0818,7,-12.477,1,0.0356,0.976,3.3299999999999996e-05,0.0558,0.395,4,153987
"manque d'amour, juliette armanet",spotify:track:7d8TyewztC4p7naRZlPFDe,137.99200000000002,0.733,0.391,0,-9.003,1,0.0459,0.885,0.000231,0.075,0.213,4,186053
"corail, julien doré",spotify:track:1g9ug4uU0UPPw5aksdPqLL,108.04299999999999,0.831,0.451,0,-6.662000000000001,1,0.0436,0.485,0.00298,0.122,0.636,4,211320
"une nuit sur son épaule, véronique sanson",spotify:track:6REJcW4CZ0M3bTXcKwjZlk,129.92,0.588,0.397,7,-9.802,1,0.027999999999999997,0.757,9.719999999999999e-05,0.161,0.21,4,205173
"boule de flipper, christophe",spotify:track:26yt1KqTB1gAZxjTPNzZvl,120.04700000000001,0.632,0.628,5,-10.584000000000001,0,0.0315,0.273,0.0454,0.0753,0.449,4,220373
"l'indien, juliette armanet",spotify:track:5IefSLC7yzmpE022dqiQz3,129.997,0.7390000000000001,0.508,0,-7.494,1,0.0358,0.204,0.00345,0.243,0.354,4,211547
"a la folie, juliette armanet",spotify:track:2J9GcefkuKfHBl7DOMkyBq,102.975,0.696,0.56,5,-5.242000000000001,1,0.0244,0.13699999999999998,0.0359,0.0904,0.235,4,239600
"l'amour en solitaire, juliette armanet",spotify:track:2u3TwrQM6F3tg2yA6jqzjK,128.01,0.799,0.523,5,-6.778,0,0.032,0.37799999999999995,3.8799999999999994e-05,0.27,0.524,4,175240
"no harm is done (feat. tunji ige), christine and the queens",spotify:track:2lLBjbwfxyQEb32rwTyxYC,79.839,0.45,0.361,1,-9.493,0,0.0954,0.457,0.00234,0.0987,0.316,5,210141
"here, christine and the queens",spotify:track:4Cu2diaJZL5VJo5y4hHoc1,99.932,0.528,0.44,9,-7.933,0,0.0317,0.5529999999999999,0.000495,0.201,0.196,4,267072
"science fiction, christine and the queens",spotify:track:176q92Z8Pn9FCm3cXjgJ7l,120.04299999999999,0.907,0.616,11,-9.036,0,0.0377,0.33399999999999996,0.000213,0.0968,0.8320000000000001,4,219128
"wandering lovers, christine and the queens",spotify:track:7h1MnX7EqVXmsMgJvwnnP1,173.96400000000003,0.521,0.679,7,-8.889,1,0.044000000000000004,0.079,0.0201,0.0821,0.517,4,198960
"ugly-pretty, christine and the queens",spotify:track:0CgeuA8OaptZ8QYawlVtHv,120.01,0.7909999999999999,0.569,11,-11.404000000000002,0,0.0367,0.043,0.146,0.0876,0.792,4,205520
"the loving cup, christine and the queens",spotify:track:0angJqIeTakolJdvoNpAtg,125.00399999999999,0.8140000000000001,0.6509999999999999,8,-7.557,0,0.0713,0.49200000000000005,0.000822,0.134,0.718,4,220853
"starshipper, christine and the queens",spotify:track:5gjPREYn4RBknUWZXDK1sp,179.96900000000002,0.47,0.48100000000000004,5,-9.846,0,0.0412,0.14,0.0597,0.121,0.128,4,302067
"safe and holy, christine and the queens",spotify:track:63hIesjNbh0Ydl4TKM4cPc,115.95200000000001,0.623,0.48,11,-7.832999999999999,0,0.0311,0.12,2.62e-05,0.107,0.19,4,247394
"nuit 17 à 52, christine and the queens",spotify:track:1yNjs2dMriAHdL5zNU7OXl,174.02,0.49700000000000005,0.35100000000000003,7,-11.350999999999999,1,0.0361,0.248,0.0111,0.131,0.0612,4,262263
"chaleur humaine, christine and the queens",spotify:track:5w0l7wpio347RsPzdJEsIc,125.935,0.696,0.35,0,-10.825,1,0.0483,0.349,0.00419,0.102,0.293,4,237770
"narcissus is back, christine and the queens",spotify:track:7yUzBfgSK6zO0qGkj6SnQ4,118.073,0.773,0.6990000000000001,2,-7.117000000000001,1,0.0309,0.397,0.000275,0.129,0.385,4,208821
"doesn't matter, christine and the queens",spotify:track:4UH4lWuTEs9r8W0ZkJ5heS,136.915,0.7909999999999999,0.573,8,-6.334,1,0.046,0.012,0.00014199999999999998,0.0429,0.9570000000000001,4,263907
"intranquillité, christine and the queens",spotify:track:3LY46JR7jcFNk9SDE5tz5c,123.991,0.7290000000000001,0.659,1,-8.429,0,0.0298,0.0329,0.00274,0.0486,0.579,4,193442
"saint claude (version française), christine and the queens",spotify:track:5Ai8XBxieq1CR263UdhGdF,98.925,0.536,0.445,8,-11.522,1,0.0491,0.344,0.0205,0.10300000000000001,0.155,4,239554
"it, christine and the queens",spotify:track:3qth4Wzm1QBGxkusVF8BaN,179.929,0.568,0.573,0,-7.681,1,0.06,0.315,1.2e-05,0.086,0.655,4,218159
"paradis perdus, christine and the queens",spotify:track:7rUJX9xP2YcL62uJvtaeJd,179.976,0.57,0.355,11,-11.4,0,0.0518,0.41,0.040999999999999995,0.096,0.47600000000000003,4,215610
"christine, christine and the queens",spotify:track:6tNDVXXaYWsBd3Mqhfelvl,100.027,0.8740000000000001,0.364,7,-10.322000000000001,1,0.0477,0.237,0.027999999999999997,0.0939,0.45399999999999996,4,234680
"i disappear in your arms - bonus, christine and the queens",spotify:track:7k9L8N0jZcz9qFupVeI4Va,119.991,0.8170000000000001,0.5660000000000001,7,-6.928,1,0.0366,0.0471,0.026000000000000002,0.0816,0.37200000000000005,4,236375
"tilted, christine and the queens",spotify:track:4U6GYrZi0xvNkUmFitCDED,100.001,0.872,0.361,7,-9.88,1,0.0609,0.28300000000000003,0.00262,0.10800000000000001,0.489,4,233247
"on ne meurt pas d'amour, clara luciani",spotify:track:4ovQY3yLU58scPdkK0IbkU,133.999,0.693,0.815,0,-6.252000000000001,1,0.0281,0.0187,0.016,0.109,0.5329999999999999,4,211853
"so naïve, villagers",spotify:track:4MjRTKS6sJhHTof4U0uq18,98.59200000000001,0.48200000000000004,0.115,2,-16.703,1,0.0453,0.968,0.52,0.0945,0.36200000000000004,4,298773
"courage, villagers",spotify:track:0E9vvI2kGtr8TUW2kJmGX4,105.0,0.74,0.299,0,-11.831,1,0.0347,0.77,0.138,0.23399999999999999,0.303,4,287413
"darling arithmetic, villagers",spotify:track:62TlzoYO7kaQj1sox59Sno,97.928,0.491,0.214,0,-13.332,1,0.0368,0.929,0.442,0.0963,0.23,1,222013
"little bigot, villagers",spotify:track:1eLYjLMPj7UXzSks3IwnaN,100.00200000000001,0.607,0.447,9,-10.48,0,0.0254,0.9,0.526,0.0593,0.38799999999999996,4,229000
"no one to blame, villagers",spotify:track:7ukf2Fu23rEOoPKbcrzGLh,114.729,0.607,0.191,0,-12.447000000000001,1,0.0625,0.985,0.174,0.0933,0.11599999999999999,4,215000
"hot scary summer, villagers",spotify:track:2t5USj2lH8pPII6ox2Hch0,114.815,0.638,0.36,0,-9.021,1,0.0334,0.867,0.00137,0.6729999999999999,0.17800000000000002,4,260053
"the soul serene, villagers",spotify:track:6Ldzl8DVY21HvF50CYJioL,78.512,0.349,0.327,7,-10.789000000000001,1,0.0342,0.835,0.142,0.0735,0.23199999999999998,4,250053
"everything i am is yours, villagers",spotify:track:281ioxkZbJ3p9hCvjD2bon,110.007,0.873,0.505,4,-11.147,0,0.0308,0.67,0.26899999999999996,0.136,0.69,4,210013
"dogwood blossom, fionn regan",spotify:track:1fkv8BNqfHePuLT8jdZNqT,157.664,0.43799999999999994,0.0247,9,-21.959,1,0.0467,0.919,0.038,0.0909,0.245,4,204853
"only you, yazoo",spotify:track:3UIXmHdXWroLttiNWNeDlz,106.07700000000001,0.748,0.5589999999999999,9,-8.078,1,0.0362,0.204,4.15e-05,0.0982,0.85,4,192293
"dog days are over, florence + the machine",spotify:track:1YLJVmuzeM2YSUkCCaTNUB,149.954,0.49200000000000005,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.11699999999999999,0.245,4,251840
"breaking down, florence + the machine",spotify:track:2TYfPBSXeAJQgP1CpkXDUP,109.94200000000001,0.5760000000000001,0.7340000000000001,1,-5.3260000000000005,1,0.0268,0.154,0.00385,0.11,0.636,4,229067
"girl with one eye, florence + the machine",spotify:track:0UdBCetwMDQO7JIhi7Waik,87.28,0.359,0.527,9,-6.371,0,0.125,0.397,0.0,0.162,0.239,3,217547
"bird song, florence + the machine",spotify:track:6EfZCB2wudriyD1vDjuAZ9,119.87100000000001,0.45799999999999996,0.526,0,-6.811,1,0.0656,0.748,0.00022,0.18600000000000003,0.253,4,175440
"hardest of hearts, florence + the machine",spotify:track:5Gf4tg1WJOzIw5iiOLBJzF,130.034,0.606,0.5870000000000001,5,-9.363,0,0.0509,0.41,0.00201,0.11199999999999999,0.368,4,207973
"long & lost, florence + the machine",spotify:track:5eSpqylqJdZPEX85nTGEVp,82.405,0.384,0.423,7,-11.88,0,0.0579,0.726,1.47e-05,0.11900000000000001,0.294,4,195082
"too much is never enough, florence + the machine",spotify:track:3ikcPRWKVx5oSalVpLzQQu,128.11,0.475,0.638,4,-4.748,1,0.0372,0.361,0.00018899999999999999,0.115,0.0852,4,348345
"kiss with a fist, florence + the machine",spotify:track:0jv5OcbvTUHgO8FgHhya8b,107.014,0.36700000000000005,0.8009999999999999,2,-5.396,1,0.13699999999999998,0.0024,0.000273,0.0603,0.624,4,123333
"my boy builds coffins, florence + the machine",spotify:track:2ZdWa7qK1fe0dUSP6mJj4e,122.057,0.612,0.726,9,-6.242000000000001,0,0.07400000000000001,0.16399999999999998,0.0,0.0853,0.183,4,176160
"all this and heaven too, florence + the machine",spotify:track:74GJoiemPE1VOyN9nVFs6k,78.142,0.226,0.8290000000000001,0,-3.838,1,0.0717,0.0371,4.47e-05,0.0772,0.34600000000000003,4,245893
"bedroom hymns, florence + the machine",spotify:track:5xJt5bwhmypiqHRVDjPGYH,106.02600000000001,0.532,0.866,4,-4.44,0,0.0452,0.0762,7.34e-06,0.335,0.233,4,181120
"hurricane drunk, florence + the machine",spotify:track:1T0Kkq1Oio6nHVhenMQeDR,184.042,0.44799999999999995,0.8690000000000001,4,-4.6160000000000005,1,0.177,0.165,6.25e-05,0.32,0.23199999999999998,4,192720
"june, florence + the machine",spotify:track:2yoaXLItTfWNpdFFpdF3Ti,146.10399999999998,0.363,0.36200000000000004,5,-8.516,1,0.0339,0.28,2.03e-06,0.142,0.179,4,221973
"stand by me, florence + the machine",spotify:track:5XSU59wtE5CRCAEyHmmGy4,108.014,0.613,0.335,9,-6.791,1,0.0281,0.841,0.000161,0.19399999999999998,0.245,4,245780
"blinding, florence + the machine",spotify:track:4tUOFydV4QoeqZOIoxzHNk,108.052,0.512,0.7929999999999999,9,-6.124,0,0.0381,0.11,0.0105,0.342,0.268,4,275533
"falling, florence + the machine",spotify:track:3bENrkfntz1ugrsi8yzT9C,113.20100000000001,0.425,0.33,2,-9.038,0,0.0313,0.7909999999999999,0.20199999999999999,0.135,0.0764,4,212973
"third eye, florence + the machine",spotify:track:7Mz95vPtFlDGIiZ5d1XdT3,123.729,0.5329999999999999,0.9359999999999999,5,-3.571,1,0.0652,0.0468,1.29e-05,0.0654,0.271,4,260192
"shake it out - mtv unplugged, 2012, florence + the machine",spotify:track:2GMp7ZqMsBOnAVgTQOyPNB,112.103,0.475,0.768,5,-5.687,1,0.054000000000000006,0.675,0.0,0.701,0.33799999999999997,4,280800
"dog days are over - mtv unplugged, 2012, florence + the machine",spotify:track:1EWMC52f81plzO8HIHlO8q,149.622,0.295,0.523,9,-6.63,0,0.0331,0.644,0.0,0.6920000000000001,0.264,4,275320
"between two lungs, florence + the machine",spotify:track:5WnYyCWBbJyLChmd2sbZK9,150.061,0.561,0.413,0,-6.45,1,0.0507,0.244,3.33e-06,0.142,0.402,4,248507
"drumming song, florence + the machine",spotify:track:7yD1uhq8xqCSdHLSkQ6sYL,200.00599999999997,0.441,0.821,4,-4.795,0,0.0456,0.00125,0.00106,0.0949,0.467,4,223333
"i'm not calling you a liar, florence + the machine",spotify:track:3euILOYDltKArnqpupsE1W,117.959,0.597,0.516,7,-5.437,1,0.0546,0.369,0.0,0.261,0.35,4,185253
"seven devils, florence + the machine",spotify:track:5qaLfqAUiqvsoL0l4T05Yx,58.534,0.368,0.7809999999999999,9,-5.6,0,0.0379,0.00913,0.000308,0.0477,0.21100000000000002,4,303173
"heartlines, florence + the machine",spotify:track:3w0Kw31MTI6NwWjCBJNUJk,109.943,0.29,0.733,9,-4.379,0,0.0406,0.0572,0.0,0.0187,0.22399999999999998,4,301533
"hiding, florence + the machine",spotify:track:6VVxlhDiGQeah3nPKStf2B,144.983,0.591,0.889,10,-4.8180000000000005,0,0.0412,0.000342,3.6200000000000006e-05,0.11699999999999999,0.807,4,232752
"no light, no light - mtv unplugged, 2012, florence + the machine",spotify:track:7BFab72CNred3EUfqXn3WA,61.681999999999995,0.287,0.235,0,-10.284,1,0.04,0.828,0.0,0.723,0.15,4,252680
"cornflake girl - recorded at rak studios, london, florence + the machine",spotify:track:0eJEcotVKze2Ioy4u0T7eR,131.27200000000002,0.537,0.589,9,-6.1739999999999995,0,0.0281,0.0177,1.42e-05,0.361,0.33899999999999997,4,281960
"heavy in your arms, florence + the machine",spotify:track:3YZ4ccGSysav9mPqbni9JU,79.669,0.324,0.802,9,-5.912000000000001,0,0.0673,0.51,0.0022,0.0868,0.29600000000000004,4,285493
"lover to lover, florence + the machine",spotify:track:1LsZVVQxkbmL9izqfy1RRK,119.009,0.588,0.809,0,-3.681,1,0.0309,0.0909,2.6e-06,0.34700000000000003,0.512,4,242827
"south london forever, florence + the machine",spotify:track:3MZ7TxuXNnwYXm2KZGap5g,107.0,0.6759999999999999,0.5770000000000001,9,-7.82,0,0.0274,0.613,0.0013,0.195,0.49,4,262680
"rabbit heart (raise it up), florence + the machine",spotify:track:5RoLLyMmaEG4WiVMlp7r59,116.977,0.607,0.853,9,-3.5239999999999996,0,0.0443,0.0553,2.9999999999999997e-05,0.301,0.389,4,232147
"breath of life, florence + the machine",spotify:track:5xze6PuNHYQhTWAPMSfDsB,146.138,0.46,0.698,0,-9.38,1,0.0437,0.00278,0.0026100000000000003,0.0914,0.273,4,251107
"only if for a night, florence + the machine",spotify:track:3I4wuL82QeU3IR518TuV33,79.961,0.485,0.737,9,-5.947,0,0.033,0.0402,0.0,0.0923,0.384,4,298333
